Ticket ID,Title,Description,Resolution,Status
MCC-1,Session Expires Immediately After Login,"A user logged in successfully but was immediately logged out, as if the session expired instantly (reported 2025-03-05). The user would enter credentials, see the dashboard briefly, then get kicked back to the login screen. This was traced to a server-side session timeout misconfiguration set to 0 minutes for that server instance.","Corrected the session timeout setting to the intended 30 minutes. After the fix, the user’s session remains active as expected. Deployed the config change across all servers to ensure consistency.",Resolved
MCC-2,Server Error 500 on Login,"On 2025-03-12 at 09:00 UTC, all users were receiving a ""Server Error"" when trying to log in via the web portal. Monitoring showed a spike in errors. The cause was an out-of-memory error on the authentication server which crashed and returned 500 for all requests.","Restarted the authentication server and increased its memory allocation. Once the server was back up, logins worked again. Scheduled further investigation to find and fix the memory leak that led to the crash.",Resolved
MCC-3,Reward Points Not Credited for Purchase,"A customer noticed that reward points were not accrued for a particular purchase on 2025-03-15. The transaction was eligible for points, but the points balance remained unchanged. We found the rewards calculation job failed on that day due to a memory issue, skipping some transactions.",Manually credited the missing points to the user’s account. Rescheduled the rewards job and increased its memory allocation. All pending reward calculations were processed and future transactions are now awarding points correctly.,Resolved
MCC-4,3D Secure Verification Fails for Transactions,"Some users could not complete credit card bill payments because the 3D Secure (OTP verification) step kept failing. They reported seeing an error after entering the OTP, despite correct entry. It was traced to a timeout in the 3DS verification API call.","Extended the timeout for 3D Secure responses and improved error handling. After deploying the fix, users were able to complete the verification step successfully.",Resolved
MCC-5,Password Reset Link Expiring Too Soon,"Several users reported that the password reset links they received expired just minutes after receipt (ticket raised 2025-03-10). One user clicked the link within 10 minutes and got an ""invalid or expired token"" error. The reset token expiration was mistakenly set to 5 minutes due to a configuration error.",Increased the reset link validity period to 30 minutes. Deployed the config change and confirmed users can now successfully reset their passwords within a reasonable time frame.,Resolved
MCC-7,iOS App Crashes on Payment Submission,"After the latest app update (v2.5.1), iOS users reported that the app crashes whenever they attempt to submit a payment. Crash logs pointed to a null reference in the payment submission handler on iOS only.",Issued a hotfix update v2.5.2 for iOS to resolve the null reference. Affected users updated the app and confirmed payments now go through without crashing.,Resolved
MCC-8,Payment Failure with Specific Bank Accounts,"Several users with ABC Bank accounts reported payment failures on 2025-03-30. Other banks' users were not affected. The error from ABC Bank's API was ""account verification failed"". It turned out ABC Bank changed their API response format, breaking our parsing logic.",Adjusted the parser for ABC Bank responses and hotfixed the service. Affected users were asked to retry and their payments went through after the fix.,Resolved
MCC-9,Interest Charged Despite Timely Payment,A user noticed interest charges on their account even though they paid the previous statement in full before the due date (2025-03-25). This should not happen in a grace period. The support team verified the payment was on time. A bug in the interest calculation module failed to exclude that account from interest accrual.,Reversed the incorrect interest charges on the user's account and patched the interest calculation logic. Confirmed that timely payments now properly prevent interest from being charged.,Resolved
MCC-10,Payment Gateway Timeout during Checkout,"Multiple users reported around 2025-04-01 that their credit card bill payments were failing. The app's checkout would spin for a long time and eventually show a timeout error. Logs show GatewayTimeoutException contacting the payment processor. This started after a network maintenance at midnight, causing transaction timeouts.","Increased the payment API timeout from 30s to 60s and restarted the gateway service, which resolved the issue.",Resolved
MCC-11,Android App Crash on Login Screen,"After a recent update (v2.4.0) on 2025-03-30, the Android app started crashing on the login screen for some users. It occurred right after entering credentials and hitting Login. Crash logs revealed a null pointer exception in the login activity related to a missing configuration on Android 8 devices specifically.","Released a hotfix (v2.4.1) for Android addressing the null pointer. Users updated the app, and the login screen no longer crashes. Added tests for older Android versions to catch such issues.",Resolved
